Regiones ;Actividades de Fomento Lector;;;Ordenado de mayor a menor;
Región de Arica y Parinacota;169;;;Regiones ;Actividades de Fomento Lector
Región de Tarapacá;106;;;Región Metropolitana;3655
Región de Antofagasta;341;;;Región de Valparaíso;1628
Región de Atacama;277;;;Región de La Araucanía;1347
Región de Coquimbo;463;;;Región de Los Lagos;1001
Región de Valparaíso;1628;;;Región de O’Higgins;754
Región Metropolitana;3655;;;Región de Los Ríos;625
Región de O’Higgins;754;;;Región del Maule;593
Región del Maule;593;;;Región de Ñuble;495
Región de Ñuble;495;;;Región de Coquimbo;463
Región del Biobío;423;;;Región del Biobío;423
Región de La Araucanía;1347;;;Región de Antofagasta;341
Región de Los Ríos;625;;;Región de Aysén;289
Región de Los Lagos;1001;;;Región de Atacama;277
Región de Aysén;289;;;Región de Magallanes;179
Región de Magallanes;179;;;Región de Arica y Parinacota;169
;;;;Región de Tarapacá;106
