;N° Bibliotecas Públicas;Préstamos 2023 (SNBP);Personas socias activas (SNBP) ;Población Proyección Censo 2023;   *PIB 2023 (Billones de CLP);;
Región de Tarapacá;7;8630;1458;401588;7.89;;
Región de Antofagasta;12;27962;8446;714142;31.29;;
Región de Atacama;12;14188;3754;319048;6;;
Región de Coquimbo;21;70300;13298;869103;9.17;;
Región de Valparaíso;36;159925;29511;2010849;20.27;;
Región del Libertador Bernardo O´Higgings ;30;67697;15225;1017701;11.91;;
Región del Maule;29;57395;13735;1162641;10.35;;
Región del Bíobio;28;64320;20599;1681430;16.73;;
Región de la Araucanía;51;132272;30212;1028201;7.74;;
Región de Los Lagos;32;116333;21668;907429;9.43;;
Región de Aysén ;21;32458;6921;108306;1.57;;
Región de Magallanes y La Antártica de Chile;7;11033;2820;182217;2.49;;
Región Metropolitana;89;603212;154248;8367790;109.14;;
Región de Los Ríos;14;46074;12223;411205;3.56;;
Región Arica y Parinacota;7;18397;3015;259802;2.17;;
Región de Ñuble;24;31860;7639;519437;4.11;;
;;;;;;;
